English Word,French Translation,Type,Meaning 
A,UNE,,"The first letter of the English and of many other alphabets. The capital A of the alphabets of Middle and Western Europe, as also the small letter (a), besides the forms in Italic, black letter, etc., are all descended from the old Latin A, which was borrowed from the Greek Alpha, of the same form; and this was made from the first letter (/) of the Phoenician alphabet, the equivalent of the Hebrew Aleph, and itself from the Egyptian origin. The Aleph was a consonant letter, with a guttural breath sound that was not an element of Greek articulation; and the Greeks took it to represent their vowel Alpha with the a sound, the Phoenician alphabet having no vowel symbols."
A-,UNE-,,"A, as a prefix to English words, is derived from various sources. (1) It frequently signifies on or in (from an, a forms of AS. on), denoting a state, as in afoot, on foot, abed, amiss, asleep, aground, aloft, away (AS. onweg), and analogically, ablaze, atremble, etc. (2) AS. of off, from, as in adown (AS. ofd/ne off the dun or hill). (3) AS. a- (Goth. us-, ur-, Ger. er-), usually giving an intensive force, and sometimes the sense of away, on, back, as in arise, abide, ago. (4) Old English y- or i- (corrupted from the AS. inseparable particle ge-, cognate with OHG. ga-, gi-, Goth. ga-), which, as a prefix, made no essential addition to the meaning, as in aware. (5) French a (L. ad to), as in abase, achieve. (6) L. a, ab, abs, from, as in avert. (7) Greek insep. prefix / without, or privative, not, as in abyss, atheist; akin to E. un-."
A 1,Un 1,,A registry mark given by underwriters (as at Lloyd's) to ships in first-class condition. Inferior grades are indicated by A 2 and A 3.
Aam,Aam,n.,"A Dutch and German measure of liquids, varying in different cities, being at Amsterdam about 41 wine gallons, at Antwerp 36 1/2, at Hamburg 38 1/4."
Aard-vark,Aard-wark,n.,"An edentate mammal, of the genus Orycteropus, somewhat resembling a pig, common in some parts of Southern Africa. It burrows in the ground, and feeds entirely on ants, which it catches with its long, slimy tongue."
Aard-wolf,Aard-loup,n.,"A carnivorous quadruped (Proteles Lalandii), of South Africa, resembling the fox and hyena. See Proteles."
Aaronic,Aaronic,a.,Alt. of Aaronical
Aaronical,Aaronique,a.,"Pertaining to Aaron, the first high priest of the Jews."
Aaron's rod,La verge d'Aaron,,"A rod with one serpent twined around it, thus differing from the caduceus of Mercury, which has two."
Ab-,Un B-,,"A prefix in many words of Latin origin. It signifies from, away , separating, or departure, as in abduct, abstract, abscond. See A-(6)."
Ab,Un B,n.,"The fifth month of the Jewish year according to the ecclesiastical reckoning, the eleventh by the civil computation, coinciding nearly with August."
Abaca,Lecteurs,n.,"The Manila-hemp plant (Musa textilis); also, its fiber. See Manila hemp under Manila."
Abacinate,Abacinate,v. t.,To blind by a red-hot metal plate held before the eyes.
Abacination,Abacination,n.,The act of abacinating.
Abaciscus,Abaciscus,n.,One of the tiles or squares of a tessellated pavement; an abaculus.
Abacist,Abaciste,n.,One who uses an abacus in casting accounts; a calculator.
Aback,Aback,adv.,Toward the back or rear; backward.
Abactinal,Abactinal,a.,Pertaining to the surface or end opposite to the mouth in a radiate animal; -- opposed to actinal.
Abaction,Abaction,n.,Stealing cattle on a large scale.
Abactor,Abatteur,n.,One who steals and drives away cattle or beasts by herds or droves.
Abaculi,Abacules,pl. ,of Abaculus
Abaculus,Abacule,n.,"A small tile of glass, marble, or other substance, of various colors, used in making ornamental patterns in mosaic pavements."
Abacuses,Abaques,pl. ,of Abacus
Abaci,Abaci,pl. ,of Abacus
